time,open,high,low,close,vol
2017-09-14,4065.04,4147.98,3603.07,3676.99,50.27159946
2017-09-15,3605,4399.9,3090,3811,93.92311274
2017-09-16,3811.01,4129.24,3611.38,3742.13,7.85911842
2017-09-17,3742.71,3949.99,3612.01,3899.92,6.72318638
2017-09-18,3850,4344,3789.1,4248.98,13.49286275
2017-09-19,4134.36,4342.29,3011,3990,17.08869912
2017-09-20,4049.99,4149.95,3950.01,4012.32,8.75717961
2017-09-21,4000.05,4109.49,3700.03,3701.32,10.18956623
2017-09-22,3897.95,3969,3600.02,3632.96,9.8067489
2017-09-23,3700,3887,3700,3800.01,4.84281745
2017-09-24,3810,4098,3600.06,3726,4.74007795
2017-09-25,3810,3998.99,3703.01,3985.99,3.26335333
2017-09-26,3938.01,4044.99,3926.02,3999.99,0.98456751
2017-09-27,4000,4231.87,3950,4203.94,10.12211696
2017-09-28,4181.48,4276.3,3995,4222.98,23.25842003
2017-09-29,4222.98,4225,4002,4224.7,9.70871463
2017-09-30,4111,4445,4111,4340.01,10.29652042
2017-10-01,4320,4379.99,4255,4340,9.86857703
2017-10-02,4350,4445,4302,4438,14.91022848
2017-10-03,4438,4438,3995,4303.01,4.41126685
2017-10-04,4050,4500.01,4001,4250,15.81057612
2017-10-05,4250,4375,4220,4282.51,0.62435928
2017-10-06,4300.32,4443.99,4300.32,4341.11,8.34924072
2017-10-07,4341.12,4399,4304.03,4399,5.17644537
2017-10-08,4399,4624.83,4350.03,4570.5,6.9766098
2017-10-09,4624.83,4799.99,4555,4754.83,24.06220254
2017-10-10,4716.19,4794.8,4605.93,4708,2.60196107
2017-10-11,4708,4814.79,4708,4789,2.36676388
2017-10-12,4789,4999,4789,4949.98,11.9697911
2017-10-13,4949.98,5210,4450,5210,20.6072048
2017-10-14,5213.51,5500,5000.02,5500,2.01049228
2017-10-15,5500,5541.6,5288,5462.19,1.78531835
2017-10-16,5462.19,5600,5422.27,5600,4.28183769
2017-10-17,5600.09,5600.1,5515.1,5516,2.71958484
2017-10-18,5515.1,5586.26,5005.01,5519.98,6.88633721
2017-10-19,5519.98,5620.53,5519.98,5620,15.35089252
2017-10-20,5590.62,5753.51,5590.6,5753.51,32.63290255
2017-10-21,5753.51,6500.01,5750,6023.4,8.01830708
2017-10-22,5800.07,6099.99,5752,5908.09,1.7832156
2017-10-23,5908.09,6100,5715,5849.9,6.4127739
2017-10-24,5801.04,5894.02,5000,5511.46,11.19305283
2017-10-25,5702.23,5850,5270,5604,12.78073526
2017-10-26,5571.17,5880,5571.17,5880,8.16699786
2017-10-27,5880,5880,5700,5705.53,4.81041036
2017-10-28,5705.53,5761.8,5595.38,5761.8,1.93524957
2017-10-29,5750,6032.5,5655,5999.99,16.20712377
2017-10-30,5999.99,6021,5855.86,5944.86,2.66919539
2017-10-31,6020,6050,5944.86,6050,18.04057236
2017-11-01,6050,6100,5780,6100,13.99407303
2017-11-02,6099.99,6788.7,5680.09,6788.7,37.75951078
2017-11-03,6788.7,7298,6788.7,7000.01,27.08619413
2017-11-04,7000.02,7346.03,6937,7330.18,13.45621187
2017-11-05,7250.63,7418.99,7250.63,7380.02,10.80136996
2017-11-06,7309.84,7415.78,6935.02,7063.35,4.5316529
2017-11-07,7063.35,7300,6621.01,7144,16.30588407
2017-11-08,7270,7750.02,7144,7260.2,58.56902543
2017-11-09,7298,7313.97,7150,7230,27.00701519
2017-11-10,7230,7325,6501.03,7047,51.74166616
2017-11-11,6715,7043.99,6220.04,6436.96,10.78828014
2017-11-12,6406,6730,5400,6176.93,17.06910982
2017-11-13,6176.93,6999,5809.02,6404.02,11.14117814
2017-11-14,6470.48,6799.93,6400,6460.01,9.89846454
2017-11-15,6585.83,7410.99,6565,7211.77,20.18812833
2017-11-16,7276,11000,7189.02,7992.99,22.19572071
2017-11-17,7870,8158.97,7500.09,7820,10.42473815
2017-11-18,7809.99,8017.89,7600.13,7811.7,3.50551194
2017-11-19,7790.01,8095,7756.16,8085.99,7.59861947
2017-11-20,7973.99,8399.99,7973.99,8260,8.67893607
2017-11-21,8335,8494,7757,8100.04,14.72652365
2017-11-22,8105,8489.99,8000,8263.5,7.53027635
2017-11-23,8263.5,8344.99,8150.04,8172.02,6.87621931
2017-11-24,8172.02,8329,8052,8220,5.140436
2017-11-25,8200.02,8997,8151.02,8798.87,8.84488075
2017-11-26,8681.4,9500,8636.11,9163.08,4.49076134
2017-11-27,9180.15,9920.01,8742.63,9658.41,13.34365562
2017-11-28,9619.25,10200,9470.02,9888.07,10.35392429
2017-11-29,9909.47,20000,9000,9800,50.99997288
2017-11-30,9800,10499,9205,9875.85,22.46941737
2017-12-01,10090.97,10950,9548,10750,13.99624844
2017-12-02,10711.01,11111,10600,11099.79,9.5224953
2017-12-03,10655.55,12000,10613,11127.99,16.77250807
2017-12-04,11127.99,11631,11000,11339.9,10.12636697
2017-12-05,11264.82,11940,11248,11701,8.88808958
2017-12-06,11701,14425,11625,13750,28.04367181
2017-12-07,13998,18550,13600,16633,29.72986344
2017-12-08,16100.23,16799,14010,15747.54,19.07933143
2017-12-09,15800.01,16290,13005,14503.51,12.02390971
2017-12-10,14503.51,15778.72,13310,14835.91,12.43745449
2017-12-11,15112.13,17800,15112.13,16629.6,17.04776606
2017-12-12,16683.31,17799,16351,16800,17.4861442
2017-12-13,16808.1,17500,16022,16303,27.2312919
2017-12-14,16419,16800,15700,16323.01,11.57021435
2017-12-15,16340.71,18000,16340.71,17250,29.89166422
2017-12-16,17250,19449,17020.01,18819.82,14.94974751
2017-12-17,18819.82,19597,17600.7,18320,8.00449329
2017-12-18,18146.29,18889,17636.01,18884,10.36567594
2017-12-19,18884,19159,17400,18400,28.2631837
2017-12-20,18000.04,18780,16590,17977.98,39.82476295
2017-12-21,17920,18499,15900,16710.99,28.38540526
2017-12-22,16711,16865.14,12500,15262.22,44.83243752
2017-12-23,15277,17949,14650,16000,13.92348574
2017-12-24,15500,15900,13701,15039,9.44005104
2017-12-25,14990,15194.48,14060.05,14565.55,2.16035946
2017-12-26,14565.55,16498.98,14565.55,15801.54,6.58477585
2017-12-27,15999,16999.69,15806.01,16033.11,10.79072748
2017-12-28,16100.03,16588.26,14800.01,15500,32.44103244
2017-12-29,15499.98,15755.9,14958.71,15430,7.06665367
2017-12-30,15430,15599.63,13501,13815,13.85480774
2017-12-31,13800,15200,13055,14664.65,8.28677351
2018-01-01,14655.01,15190.73,14001.01,14430.6,5.61106491
2018-01-02,14431.11,16000,14040,15454.5,15.36808329
2018-01-03,15456.62,16380,15280,16080,8.40247246
2018-01-04,15777,16249.99,15005,15415,14.50446938
2018-01-05,15415,17480,15414.69,17480,16.24059601
2018-01-06,17480,17899.99,16477.97,17234.19,9.19209885
2018-01-07,16701.01,17123.94,16211,16788,8.03248393
2018-01-08,16350.55,16818.88,15100,15589.98,11.86458076
2018-01-09,15589.98,16018.97,14800,14955,10.29767083
2018-01-10,15330,15435,14255,15175,12.35884469
2018-01-11,14882.86,15823.9,13900,14250,32.18086748
2018-01-12,13905,25200,13802,14225.03,24.54498356
2018-01-13,14271.65,14999,14255,14948.98,4.12501171
2018-01-14,14773.99,14963.99,14061,14600,8.463242
2018-01-15,14280,14698.9,14170,14300,6.94209434
2018-01-16,14250,15580,10112,12196.66,38.6235863
2018-01-17,12196.52,12349,9250,11400,15.09693867
2018-01-18,11400,13499,11250,12597,14.4751116
