close_sp500,close_btc,y
2587.840088,7000.01,730
2591.1298829999996,7063.35,731
2590.639893,7144,732
2594.3798829999996,7260.2,733
2584.6201170000004,7230,734
2582.300049,7047,735
2584.840088,6404.02,736
2578.8701170000004,6460.01,737
2564.6201170000004,7211.77,738
2585.639893,7992.99,739
2578.850098,7820,740
2582.139893,8260,741
2599.030029,8100.04,742
2597.080078,8263.5,743
2602.419922,8220,744
2601.419922,9658.41,745
2627.040039,9888.07,746
2626.070068,9800,747
2647.580078,9875.85,748
2642.219971,10750,749
2639.439941,11339.9,750
2629.570068,11701,751
2629.27002,13750,752
2636.97998,16633,753
2651.5,15747.54,754
2659.98999,16629.6,755
2664.110107,16800,756
2662.850098,16303,757
2652.01001,16323.01,758
2675.810059,17250,759
2690.159912,18884,760
2681.469971,18400,761
2679.25,17977.98,762
2684.570068,16710.99,763
2683.340088,15262.22,764
2680.5,15801.54,765
2682.6201170000004,16033.11,766
2687.540039,15500,767
2673.610107,15430,768
2695.810059,15454.5,769
2713.060059,16080,770
2723.98999,15415,771
2743.149902,17480,772
2747.709961,15589.98,773
2751.290039,14955,774
2748.22998,15175,775
2767.560059,14250,776
2786.23999,14225.03,777
2776.419922,12196.66,778
2802.560059,11400,779
2798.030029,12597,780
2810.300049,11990,781
2832.969971,10993,782
2839.1298829999996,10750,783
2837.540039,11235.96,784
2839.25,11280,785
2872.8701170000004,11160,786
2853.530029,11250,787
2822.429932,10255,788
2823.810059,10071,789
2821.97998,9120,790
2762.1298829999996,8963.75,791
2648.939941,6756.61,792
2695.139893,7712.19,793
2681.659912,7936.82,794
2581,8247.5,795
2619.550049,8611,796
2656,8847.29,797
2662.939941,8621,798
2698.6298829999996,9600,799
2731.199951,10199.96,800
2732.219971,10145,801
2716.26001,11250.01,802
2701.330078,10442.13,803
2703.959961,9992.52,804
2747.300049,10081.09,805
2779.600098,10184.25,806
2744.280029,10641,807
2713.830078,10308,808
2677.669922,10902,809
2691.25,10800.98,810
2720.939941,11447.98,811
2728.1201170000004,10650.02,812
2726.800049,10010,813
2738.969971,9510,814
2786.570068,9350.25,815
2783.02002,9124.59,816
2765.310059,9600,817
2749.47998,8420.01,818
2747.330078,8306,819
2752.01001,8875.89,820
